Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-05-10,1.0,-5.0,0.0,1.0,0.0,,,,27 June 24 Full Amplitude=470,,,,,,,,,,,,,,
2024-05-11,2.0,-7.0,-2.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
2024-05-12,3.0,-6.0,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024-05-13,4.0,-4.5,0.5,1.0,1.5,,,,,,,,,,,,,,,,,,
2024-05-14,5.0,-2.5,2.5,1.0,2.0, ,,,,,,,,,,,,,,,,,
2024-05-15,6.0,-1.0,4.0,1.0,1.5,,,,,,,,,,,,,,,,,,
2024-05-16,7.0,4.0,9.0,1.0,5.0,atomic clock,,,,,,,,,,,,,,,,,
2024-05-17,8.0,8.0,13.0,1.0,4.0,,,,,,,,,,,,,,,,,,
2024-05-18,9.0,11.0,16.0,1.0,3.0,,,,,,,,,,,,,,,,,,
2024-05-19,10.0,17.5,22.5,1.0,6.5,warm,,,,,,,,,,,,,,,,,
2024-05-20,11.0,21.5,26.5,1.0,4.0,warm,,,,,,,,,,,,,,,,,
2024-05-21,12.0,23.5,28.5,1.0,3.0,warm,,,,,,,,,,,,,,,,,
2024-05-22,13.0,28.0,33.0,1.0,4.5,warm,,,,,,,,,,,,,,,,,
2024-05-23,14.0,33.5,38.5,1.0,5.5,warm,,,,,,,,,,,,,,,,,
2024-05-24,15.0,35.0,40.0,1.0,1.5,cooler,,,,,,,,,,,,,,,,,
2024-05-25,16.0,36.5,41.5,1.0,1.5,cooler,,,,,,,,,,,,,,,,,
2024-05-26,17.0,40.0,45.0,1.0,3.5,cooler,,,,,,,,,,,,,,,,,
2024-05-27,18.0,43.0,48.0,1.0,3.0,cooler,,,,,,,,,,,,,,,,,
2024-05-28,19.0,44.0,49.0,1.0,1.0,cooler,,,,,,,,,,,,,,,,,
2024-05-29,20.0,52.0,57.0,1.0,8.0,cooler,Short chain,,,,,,,,,,,,,,,,
2024-05-30,21.0,53.5,58.5,1.0,1.5,,Chain braced,,,,,,,,,,,,,,,,
2024-05-31,22.0,54.0,59.0,1.0,0.5,,,,,,,,,,,,0.5333333333333333,,,,,,
2024-06-01,23.0,56.0,61.0,1.0,2.0,,,,,,,,17,57,62,,61.9,,,,,,
2024-06-02,24.0,57.0,62.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024-06-03,25.0,57.0,62.0,1.0,0.0,,,,,,Actual,,2024-05-08 00:00:00,2024-06-03 00:00:00,2024-06-04 00:00:00,,,,,,,,
2024-06-04,26.0,62.0,67.0,1.0,5.0,isochronism and heavily braced,,,,,0,0.0,0,0,0,,,,,,,,
2024-06-05,27.0,66.0,71.0,1.0,5.0,isochronism and heavily braced,,,,,34,0.5666666666666667,0,,,,,,,,,,
2024-06-06,28.0,71.0,76.0,1.0,5.0,not braced,,,,,60,1.0,0,,,,,,,,,,
2024-06-07,29.0,73.0,78.0,1.0,2.0,single chain,,,,,80,1.3333333333333333,0,,,,,,,,,,
2024-06-08,30.0,71.0,76.0,1.0,-1.0,single chain,,,,,90,1.5,,0.5,,,,,,,,,
2024-06-09,31.0,70.0,75.0,1.0,-1.0,single chain,,,,,105,1.75,0.5,,0,,,,,,,,
2024-06-10,32.0,70.0,75.0,1.0,0.0,single chain,,,,,,,,,,,,,,,,,
2024-06-11,33.0,70.5,75.5,1.0,0.5,,,,,,120,2.0,,0,,,,,,,,,
2024-06-12,34.0,71.0,76.0,1.0,0.5,,,,,,140,2.3333333333333335,0,,,,,,,,,,
2024-06-13,35.0,71.0,76.0,1.0,0.5,,,,,,170,2.8333333333333335,0,,,,,,,,,,
2024-06-14,36.0,72.0,77.0,1.0,1.0,,,,,,180,3.0,0,0.5,,,,,,,,,
2024-06-15,37.0,72.0,77.0,1.0,0.0,,,,,,210,3.5,,,,,,,,,,,
